SRCID,Q1,Q1_Ordinal,Q2,DUM1,DUM2,Q5Average,Q6,Q7Average,Q8,Q9Average,Q10,Q11Average,Q12,Q12_Ordinal,Q18,Q20,Q22,Q22_Ordinal,Q24,p_gender_sdc,p_age_group_sdc,p_education_sdc,p_state_sdc,Random
537,2,"""2""","""1""","""1""","""1""",2,"""1""",2,"""2""",2,"""2""",2,1,"""1""",6,5,1,"""1""","""0""","""2""","""3""","""2""","""3""",
553,2,"""2""","""11""","""1""","""1""",2,"""12""",2,"""5""",2,"""1""",2,1,"""1""",2,8,1,"""1""","""0""","""1""","""2""","""2""","""1""",39
554,1,"""1""","""29""","""2""","""2""",2,"""12""",2,"""5""",2,"""2""",2,1,"""1""",4,7,1,"""1""","""0""","""1""","""4""","""3""","""1""",40
557,2,"""2""","""13""","""1""","""2""",2,"""1""",1,"""8""",2,"""1""",2,1,"""1""",4,6,1,"""1""","""0""","""1""","""4""","""2""","""1""",
573,4,"""4""","""16""","""1""","""3""",3,"""5""",2,"""5""",3,"""2""",2,1,"""1""",7,8,1,"""1""","""0""","""1""","""2""","""3""","""3""",
574,4,"""4""","""16""","""1""","""3""",2,"""1""",1,"""9""",2,"""1""",2,1,"""1""",5,0,1,"""1""","""0""","""1""","""4""","""1""","""5""",41
579,4,"""4""","""16""","""2""","""2""",3,"""2""",1,"""9""",3,"""2""",2,1,"""1""",8,8,1,"""1""","""0""","""2""","""3""","""2""","""1""",
585,4,"""4""","""1""","""2""","""1""",3,"""11""",1,"""2""",3,"""2""",2,1,"""1""",6,6,1,"""1""","""0""","""2""","""3""","""3""","""5""",
588,2,"""2""","""30""","""2""","""2""",3,"""1""",1,"""8""",3,"""1""",2,1,"""1""",3,8,1,"""1""","""0""","""1""","""2""","""2""","""5""",42
589,5,"""5""","""13""","""1""","""1""",3,"""1""",2,"""5""",3,"""2""",2,1,"""1""",2,7,1,"""1""","""0""","""1""","""3""","""2""","""3""",43
590,2,"""2""","""13""","""1""","""1""",2,"""3""",1,"""9""",2,"""2""",2,1,"""1""",7,7,1,"""1""","""0""","""2""","""3""","""3""","""4""",
595,4,"""4""","""11""","""1""","""3""",2,"""4""",1,"""2""",2,"""1""",2,1,"""1""",4,10,1,"""1""","""0""","""2""","""3""","""2""","""5""",
600,5,"""5""","""96""","""1""","""1""",3,"""9""",2,"""2""",3,"""2""",2,1,"""1""",5,5,1,"""1""","""0""","""2""","""3""","""2""","""6""",44
606,2,"""2""","""11""","""1""","""3""",2,"""4""",1,"""2""",2,"""1""",2,1,"""1""",7,8,1,"""1""","""0""","""2""","""4""","""2""","""5""",
613,2,"""2""","""16""","""2""","""1""",2,"""4""",1,"""9""",2,"""1""",2,1,"""1""",8,8,1,"""1""","""0""","""2""","""3""","""3""","""2""",
614,4,"""4""","""16""","""2""","""1""",3,"""4""",1,"""5""",3,"""2""",2,1,"""1""",4,9,1,"""1""","""2""","""2""","""4""","""1""","""2""",45
622,1,"""1""","""1""","""2""","""1""",2,"""6""",1,"""8""",2,"""1""",2,1,"""1""",2,6,1,"""1""","""0""","""1""","""4""","""3""","""4""",46
623,4,"""4""","""19""","""1""","""2""",2,"""6""",1,"""2""",2,"""2""",2,1,"""1""",10,5,1,"""1""","""0""","""2""","""4""","""3""","""3""",
628,2,"""2""","""13""","""2""","""1""",1,"""9""",1,"""3""",1,"""1""",2,1,"""1""",3,3,1,"""1""","""0""","""2""","""3""","""2""","""5""",
646,4,"""4""","""16""","""1""","""1""",3,"""4""",2,"""1""",3,"""2""",2,1,"""1""",7,10,1,"""1""","""0""","""1""","""2""","""2""","""5""",47
655,4,"""4""","""1""","""2""","""2""",2,"""4""",1,"""2""",2,"""1""",3,1,"""1""",3,10,1,"""1""","""0""","""2""","""2""","""3""","""1""",
656,4,"""4""","""13""","""2""","""2""",2,"""4""",2,"""6""",2,"""2""",2,1,"""1""",8,7,1,"""1""","""0""","""2""","""3""","""3""","""3""",
657,2,"""2""","""5""","""1""","""3""",2,"""10""",1,"""9""",2,"""1""",3,1,"""1""",3,4,1,"""1""","""0""","""2""","""4""","""3""","""5""",48
666,2,"""2""","""11""","""2""","""1""",2,"""6""",1,"""2""",2,"""1""",2,1,"""1""",6,6,1,"""1""","""0""","""2""","""3""","""3""","""3""",49
680,4,"""4""","""1""","""1""","""2""",3,"""9""",1,"""5""",3,"""2""",1,1,"""1""",8,6,1,"""1""","""0""","""2""","""2""","""3""","""4""",
683,4,"""4""","""13""","""1""","""1""",3,"""4""",1,"""5""",3,"""2""",2,1,"""1""",9,9,1,"""1""","""0""","""2""","""3""","""2""","""1""",
685,4,"""4""","""16""","""2""","""2""",2,"""3""",1,"""1""",2,"""1""",2,1,"""1""",0,0,1,"""1""","""2""","""2""","""4""","""1""","""3""",50
687,4,"""4""","""1""","""1""","""1""",3,"""3""",2,"""2""",3,"""2""",3,1,"""1""",3,3,1,"""1""","""2""","""2""","""3""","""1""","""3""",
699,2,"""2""","""13""","""2""","""3""",4,"""2""",1,"""9""",4,"""2""",3,1,"""1""",1,10,1,"""1""","""0""","""2""","""4""","""2""","""5""",
701,4,"""4""","""13""","""1""","""1""",2,"""1""",1,"""9""",2,"""1""",2,1,"""1""",4,5,1,"""1""","""0""","""2""","""4""","""3""","""1""",51
704,2,"""2""","""11""","""2""","""2""",2,"""1""",2,"""2""",2,"""1""",2,1,"""1""",4,5,1,"""1""","""0""","""1""","""4""","""2""","""4""",52
706,4,"""4""","""1""","""1""","""1""",4,"""4""",2,"""2""",4,"""2""",2,1,"""1""",5,6,1,"""1""","""0""","""2""","""3""","""2""","""3""",
710,2,"""2""","""96""","""1""","""3""",2,"""1""",1,"""5""",2,"""1""",2,1,"""1""",8,10,1,"""1""","""0""","""1""","""4""","""3""","""3""",
715,2,"""2""","""96""","""1""","""1""",3,"""3""",2,"""9""",3,"""1""",2,1,"""1""",3,3,1,"""1""","""0""","""2""","""4""","""2""","""2""",53
716,2,"""2""","""32""","""2""","""2""",2,"""4""",2,"""2""",2,"""1""",2,1,"""1""",6,5,1,"""1""","""0""","""1""","""2""","""3""","""1""",
